role;pattern
Telic;[<query>NOUN</query>,NP] AUX/hat (ADJ) ADP/zum (ADJ) NOUN/Ziel PUNCT/, SCONJ/dass (DET) (ADJ) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/ist ADJ/brauchbar ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/ist ADJ/nutzbar ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/ist ADJ/nützlich ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/ist ADP/für (DET) <qualia>[NP,NOUN]</qualia> ADJ/brauchbar (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/ist ADP/für (DET) <qualia>[NP,NOUN]</qualia> ADJ/nutzbar (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/ist ADP/für (DET) <qualia>[NP,NOUN]</qualia> ADJ/nützlich (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/sind ADJ/brauchbar ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/sind ADJ/nutzbar ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/sind ADJ/nützlich ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/sind ADP/für (DET) <qualia>[NP,NOUN]</qualia> ADJ/brauchbar (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/sind ADP/für (DET) <qualia>[NP,NOUN]</qualia> ADJ/nutzbar (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/sind ADP/für (DET) <qualia>[NP,NOUN]</qualia> ADJ/nützlich (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/werden VERB/benutzt ADP/um <qualia>[NP,NOUN]</qualia>
Telic;[<query>NOUN</query>,NP] AUX/wird ADP/um <qualia>[NP,NOUN]</qualia> VERB/benutzt
Telic;[<query>NOUN</query>,NP] AUX/wird VERB/benutzt ADP/um <qualia>[NP,NOUN]</qualia>
Telic;[<query>NOUN</query>,NP] AUX/wurde ADP/für (DET) <qualia>[NP,NOUN]</qualia> VERB/entwickelt (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurde ADP/für (DET) <qualia>[NP,NOUN]</qualia> VERB/gebaut (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurde ADP/für (DET) <qualia>[NP,NOUN]</qualia> VERB/konstruiert (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurde ADP/für (DET) <qualia>[NP,NOUN]</qualia> VERB/produziert (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurde ADP/für (DET) <qualia>[NP,NOUN]</qualia> VERB/realisiert (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurde VERB/entwickelt ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurde VERB/gebaut ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurde VERB/konstruiert ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurde VERB/produziert ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurde VERB/realisiert ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurden ADP/für (DET) <qualia>[NP,NOUN]</qualia> VERB/entwickelt (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurden ADP/für (DET) <qualia>[NP,NOUN]</qualia> VERB/gebaut (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurden ADP/für (DET) <qualia>[NP,NOUN]</qualia> VERB/konstruiert (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurden ADP/für (DET) <qualia>[NP,NOUN]</qualia> VERB/produziert (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurden ADP/für (DET) <qualia>[NP,NOUN]</qualia> VERB/realisiert (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurden VERB/entwickelt ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurden VERB/gebaut ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurden VERB/konstruiert ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurden VERB/produziert ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] AUX/wurden VERB/realisiert ADP/für (DET) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] NOUN/Sinn ADP/von (DET) (ADJ) [NOUN,NP] AUX/sind <qualia>[NP,NOUN,CP]</qualia>
Telic;[<query>NOUN</query>,NP] VERB/benutzt PRON/man ADP/um PART/zu <qualia>[NP,NOUN]</qualia>
Telic;[<query>NOUN</query>,NP] VERB/dienen PRON/dem (ADJ) NOUN/Zweck (DET) (ADJ) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] VERB/dient PRON/dem (ADJ) NOUN/Zweck (DET) (ADJ) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] VERB/ergab PRON/sich ADP/aus DET/der (ADJ) NOUN/Forschung ADP/zu (DET) (ADJ) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
Telic;[<query>NOUN</query>,NP] VERB/ergaben PRON/sich ADP/aus DET/der (ADJ) NOUN/Forschung ADP/zu (DET) (ADJ) <qualia>[NP,NOUN]</qualia> (PUNCT/.)
